food,amount,user_id,date_of_eat
rice,369,200000001,30/08/2024
salad,354,200000002,30/08/2024
steak,204,200000003,30/08/2024
apple,316,200000002,31/08/2024
rice,240,200000001,31/08/2024
yogurt,242,200000002,31/08/2024
fish,132,200000001,01/09/2024
fish,309,200000001,01/09/2024
fish,101,200000002,01/09/2024
yogurt,240,200000001,02/09/2024
apple,135,200000002,02/09/2024
soup,171,200000002,02/09/2024
salad,378,200000002,03/09/2024
rice,227,200000003,03/09/2024
soup,385,200000003,03/09/2024
salad,323,200000002,04/09/2024
banana,185,200000003,04/09/2024
banana,330,200000002,04/09/2024
yogurt,366,200000002,05/09/2024
banana,353,200000001,05/09/2024
apple,358,200000003,05/09/2024
apple,128,200000001,06/09/2024
steak,300,200000001,06/09/2024
soup,221,200000003,06/09/2024
pasta,384,200000001,07/09/2024
chicken,127,200000002,07/09/2024
yogurt,290,200000003,07/09/2024
banana,280,200000001,08/09/2024
steak,280,200000002,08/09/2024
rice,141,200000001,08/09/2024
chicken,113,200000002,09/09/2024
yogurt,355,200000003,09/09/2024
chicken,243,200000002,09/09/2024
pasta,373,200000002,10/09/2024
fish,395,200000001,10/09/2024
soup,236,200000002,10/09/2024
yogurt,143,200000002,11/09/2024
soup,292,200000003,11/09/2024
banana,259,200000003,11/09/2024
chicken,189,200000003,12/09/2024
apple,198,200000001,12/09/2024
pasta,231,200000003,12/09/2024
rice,325,200000002,13/09/2024
pasta,115,200000001,13/09/2024
soup,276,200000003,13/09/2024
apple,202,200000003,14/09/2024
steak,108,200000001,14/09/2024
banana,210,200000003,14/09/2024
fish,151,200000003,15/09/2024
pasta,102,200000002,15/09/2024
chicken,117,200000002,15/09/2024
soup,112,200000002,16/09/2024
banana,346,200000003,16/09/2024
banana,399,200000001,16/09/2024
salad,213,200000001,17/09/2024
steak,126,200000003,17/09/2024
apple,184,200000001,17/09/2024
apple,182,200000003,18/09/2024
yogurt,263,200000003,18/09/2024
yogurt,377,200000001,18/09/2024
steak,261,200000002,19/09/2024
steak,132,200000001,19/09/2024
fish,376,200000002,19/09/2024
salad,119,200000001,20/09/2024
salad,248,200000003,20/09/2024
rice,295,200000001,20/09/2024
pasta,205,200000003,21/09/2024
salad,260,200000002,21/09/2024
apple,151,200000003,21/09/2024
rice,209,200000002,22/09/2024
fish,286,200000001,22/09/2024
soup,217,200000001,22/09/2024
soup,168,200000001,23/09/2024
soup,400,200000002,23/09/2024
fish,275,200000003,23/09/2024
soup,121,200000002,24/09/2024
steak,345,200000002,24/09/2024
fish,260,200000003,24/09/2024
apple,398,200000001,25/09/2024
fish,144,200000002,25/09/2024
banana,359,200000003,25/09/2024
fish,280,200000001,26/09/2024
apple,139,200000001,26/09/2024
soup,316,200000003,26/09/2024
rice,273,200000003,27/09/2024
salad,225,200000003,27/09/2024
banana,154,200000003,27/09/2024
yogurt,312,200000002,28/09/2024
banana,273,200000003,28/09/2024
chicken,382,200000002,28/09/2024
rice,194,200000001,29/09/2024
chicken,239,200000002,29/09/2024
yogurt,326,200000003,29/09/2024
chicken,335,200000003,30/09/2024
salad,320,200000002,30/09/2024
steak,202,200000001,30/09/2024
pasta,367,200000002,01/10/2024
soup,347,200000001,01/10/2024
chicken,268,200000003,01/10/2024
soup,147,200000003,02/10/2024
salad,253,200000002,02/10/2024
yogurt,268,200000003,02/10/2024
salad,268,200000002,03/10/2024
steak,359,200000003,03/10/2024
banana,365,200000003,03/10/2024
yogurt,225,200000002,04/10/2024
fish,200,200000003,04/10/2024
pasta,221,200000002,04/10/2024
apple,326,200000002,05/10/2024
soup,222,200000003,05/10/2024
apple,147,200000001,05/10/2024
yogurt,279,200000002,06/10/2024
rice,191,200000002,06/10/2024
banana,174,200000003,06/10/2024
pasta,369,200000003,07/10/2024
apple,300,200000002,07/10/2024
yogurt,289,200000003,07/10/2024
salad,134,200000003,08/10/2024
rice,297,200000001,08/10/2024
chicken,256,200000001,08/10/2024
soup,288,200000003,09/10/2024
yogurt,394,200000003,09/10/2024
